JQ766109.1.1426;uncultured
JQ782930.1.1337;uncultured
JQ806745.1.1349;uncultured
JQ844762.1.1506;JL-ETNP-Z34
JQ800089.1.1507;uncultured
JQ800024.1.1461;uncultured
JQ800035.1.1457;uncultured
JQ800066.1.1459;uncultured
JQ800036.1.1458;uncultured
JQ800054.1.1460;uncultured
JQ806744.1.1306;uncultured
JQ844765.1.1506;JL-ETNP-Z34
JQ844764.1.1506;JL-ETNP-Z34
JQ844478.1.1287;uncultured
JQ928686.1.1380;uncultured
JQ950496.1.1465;uncultured
JQ950470.1.1461;uncultured
JQ950478.1.1461;uncultured
JQ950471.1.1461;uncultured
JQ950479.1.1461;uncultured
JQ950458.1.1461;uncultured
JQ958854.1.1453;uncultured
JQ977656.1.1342;uncultured
JX006270.1.1412;Lachnoclostridium
JX006510.1.1418;Lachnoclostridium
JQ977397.1.1445;uncultured
JX006725.1.1413;Lachnoclostridium
JX006741.1.1394;Lachnoclostridium
JX006281.1.1418;Lachnoclostridium
JX006262.1.1421;Lachnoclostridium
JX006305.1.1415;Lachnoclostridium
JX006319.1.1411;Lachnoclostridium
JX006263.1.1418;Lachnoclostridium
JX006320.1.1416;Lachnoclostridium
JX006392.1.1406;Lachnoclostridium
JX006252.1.1418;Lachnoclostridium
JX006309.1.1412;Lachnoclostridium
JX006257.1.1421;Lachnoclostridium
JX006696.1.1380;Lachnoclostridium
JX006299.1.1414;Lachnoclostridium
JX006694.1.1397;Lachnoclostridium
JX006718.1.1406;Lachnoclostridium
JX006727.1.1390;Lachnoclostridium
JX048148.1.1392;S5-A14a
JX048172.1.1408;Lachnoclostridium
JX006726.1.1410;Lachnoclostridium
JX006735.1.1389;Lachnoclostridium
JX006742.1.1393;Lachnoclostridium
JX048252.1.1425;Lachnoclostridium
JX006751.1.1413;Lachnoclostridium
JX006782.1.1397;Lachnoclostridium
JX006715.1.1390;Lachnoclostridium
JX006729.1.1400;Erysipelatoclostridium
JX048292.1.1336;Erysipelatoclostridium
JX048305.1.1389;Erysipelatoclostridium
JX006731.1.1394;Lachnoclostridium
JX029998.1.1314;uncultured
JX029997.1.1258;uncultured
JX048136.1.1424;Tyzzerella
JX048215.1.1389;S5-A14a
JX048295.1.1432;Lachnoclostridium
JX048127.1.1383;Lachnoclostridium
JX048135.1.1414;Lachnoclostridium
JX048197.1.1413;Lachnoclostridium
JX048198.1.1427;Lachnoclostridium
JX048147.1.1413;Lachnoclostridium
JX048245.1.1384;Lachnoclostridium
